periodid,periodname,periodcode,perioddescription,orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,() of pregnant women adolescents (10-19 years),adolescent pregnancy,estimated post abortion,prop of monthly anc visit by preg adolescent,adolescents (10-14 years) with  pregnancy,adolescent family planning uptake 10-14 yrs,adolescent family planning uptake 15-19 yrs,adolescents (15-19 years) with  pregnancy
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Nyandarua County,Olkalou Sub County,Kanjuiri Range Ward,QetTI3w7Tfe,Kanjuiri Range Ward,KE_Ward_454,,29.5,28,,9.6,,,17,28
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Meru County,Igembe South Sub County,Kanuni Ward,A7U8KMUSpj1,Kanuni Ward,KE_Ward_255,,67.4,122,,36.2,,,45,122
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Homa Bay County,Ndhiwa Sub County,Kanyadoto Ward,MAZrrKvz7hU,Kanyadoto Ward,KE_Ward_1246,,44.4,20,0,11.7,2,5,27,18
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Homa Bay County,Karachuonyo Sub County,Kanyaluo Ward,LX2KPfCBef4,Kanyaluo Ward,KE_Ward_1233,,55.7,68,0,15.4,2,1,31,66
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Homa Bay County,Ndhiwa Sub County,Kanyamwa Kologi Ward,QlqqWw642lA,Kanyamwa Kologi Ward,KE_Ward_1250,,46.9,136,0,23.6,7,1,58,129
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Homa Bay County,Ndhiwa Sub County,Kanyamwa Kosewe Ward,ccNnEThhT6C,Kanyamwa Kosewe Ward,KE_Ward_1251,,41.3,157,0,14.8,6,11,239,151
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Kitui County,Kitui Rural Sub County,Kanyangi Ward,pesguszdkri,Kanyangi Ward,KE_Ward_353,,65.9,56,0,34.6,1,,30,55
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Migori County,Nyatike Sub County,Kanyasa Ward,ONNWmIVc48N,Kanyasa Ward,KE_Ward_1283,,31.4,33,0,9.4,2,3,79,31
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Kirinyaga County,Kirinyaga Central Sub County,Kanyekini Ward,WtvrxP6Ra8K,Kanyekini Ward,KE_Ward_513,,60.3,38,,18,8,,20,30
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Muranga County,Kangema Sub County,Kanyenya-ini Ward,lJIdDl7HaCT,Kanyenya-ini Ward,KE_Ward_516,,10.4,8,0,3.6,,,19,8
